,id,date,date_line
0,1,2020-01-21,"TUE, JAN 21"
1,2,2020-01-22,"WED, JAN 22"
2,3,2020-01-23,"THU, JAN 23"
3,4,2020-01-24,"FRI, JAN 24"
4,5,2020-01-25,"SAT, JAN 25"
5,6,2020-01-26,"SUN, JAN 26"
6,7,2020-01-27,"MON, JAN 27"
7,8,2020-01-28,"TUE, JAN 28"
8,9,2020-01-29,"WED, JAN 29"
9,10,2020-01-30,"THU, JAN 30"
10,11,2020-01-31,"FRI, JAN 31"
11,12,2020-02-01,"SAT, FEB 1"
12,13,2020-02-02,"SUN, FEB 2"
13,14,2020-02-03,"MON, FEB 3"
14,15,2020-02-04,"TUE, FEB 4"
15,16,2020-02-05,"WED, FEB 5"
16,17,2020-02-06,"THU, FEB 6"
17,18,2020-02-07,"FRI, FEB 7"
18,19,2020-02-08,"SAT, FEB 8"
19,20,2020-02-09,"SUN, FEB 9"
20,21,2020-02-10,"MON, FEB 10"
21,22,2020-02-11,"TUE, FEB 11"
22,23,2020-02-12,"WED, FEB 12"
23,24,2020-02-13,"THU, FEB 13"
24,25,2020-02-14,"FRI, FEB 14"
25,26,2020-02-15,"SAT, FEB 15"
26,27,2020-02-16,"SUN, FEB 16"
27,28,2020-02-17,"MON, FEB 17"
28,29,2020-02-18,"TUE, FEB 18"
29,30,2020-02-19,"WED, FEB 19"
30,31,2020-02-20,"THU, FEB 20"
31,32,2020-02-21,"FRI, FEB 21"
32,33,2020-02-22,"SAT, FEB 22"
33,34,2020-02-23,"SUN, FEB 23"
34,35,2020-02-24,"MON, FEB 24"
35,36,2020-02-25,"TUE, FEB 25"
36,37,2020-02-26,"WED, FEB 26"
37,38,2020-02-27,"THU, FEB 27"
38,39,2020-02-28,"FRI, FEB 28"
39,40,2020-02-29,"SAT, FEB 29"
40,41,2020-03-01,"SUN, MAR 1"
41,42,2020-03-02,"MON, MAR 2"
42,43,2020-03-03,"TUE, MAR 3"
43,44,2020-03-04,"WED, MAR 4"
44,45,2020-03-05,"THU, MAR 5"
45,46,2020-03-06,"FRI, MAR 6"
46,47,2020-03-07,"SAT, MAR 7"
47,48,2020-03-08,"SUN, MAR 8"
48,49,2020-03-09,"MON, MAR 9"
49,50,2020-03-10,"TUE, MAR 10"
50,51,2020-03-11,"WED, MAR 11"
51,52,2020-03-12,"THU, MAR 12"
52,53,2020-03-13,"FRI, MAR 13"
53,54,2020-03-14,"SAT, MAR 14"
54,55,2020-03-15,"SUN, MAR 15"
55,56,2020-03-16,"MON, MAR 16"
56,57,2020-03-17,"TUE, MAR 17"
57,58,2020-03-18,"WED, MAR 18"
58,59,2020-03-19,"THU, MAR 19"
59,60,2020-03-20,"FRI, MAR 20"
60,61,2020-03-21,"SAT, MAR 21"
61,62,2020-03-22,"SUN, MAR 22"
62,63,2020-03-23,"MON, MAR 23"
63,64,2020-03-24,"TUE, MAR 24"
64,65,2020-03-25,"WED, MAR 25"
65,66,2020-03-26,"THU, MAR 26"
66,67,2020-03-27,"FRI, MAR 27"
67,68,2020-03-28,"SAT, MAR 28"
68,69,2020-03-29,"SUN, MAR 29"
69,70,2020-03-30,"MON, MAR 30"
70,71,2020-03-31,"TUE, MAR 31"
71,72,2020-04-01,"WED, APR 1"
72,73,2020-04-02,"THU, APR 2"
73,74,2020-04-03,"FRI, APR 3"
74,75,2020-04-04,"SAT, APR 4"
75,76,2020-04-05,"SUN, APR 5"
76,77,2020-04-06,"MON, APR 6"
77,78,2020-04-07,"TUE, APR 7"
78,79,2020-04-08,"WED, APR 8"
79,80,2020-04-09,"THU, APR 9"
80,81,2020-04-10,"FRI, APR 10"
81,82,2020-04-11,"SAT, APR 11"
82,83,2020-04-12,"SUN, APR 12"
83,84,2020-04-13,"MON, APR 13"
84,85,2020-04-14,"TUE, APR 14"
85,86,2020-04-15,"WED, APR 15"
86,87,2020-04-16,"THU, APR 16"
87,88,2020-04-17,"FRI, APR 17"
88,89,2020-04-18,"SAT, APR 18"
89,90,2020-04-19,"SUN, APR 19"
90,91,2020-04-20,"MON, APR 20"
91,92,2020-04-21,"TUE, APR 21"
92,93,2020-04-22,"WED, APR 22"
93,94,2020-04-23,"THU, APR 23"
94,95,2020-04-24,"FRI, APR 24"
95,96,2020-04-25,"SAT, APR 25"
96,97,2020-04-26,"SUN, APR 26"
97,98,2020-04-27,"MON, APR 27"
98,99,2020-04-28,"TUE, APR 28"
99,100,2020-04-29,"WED, APR 29"
100,101,2020-04-30,"THU, APR 30"
101,102,2020-05-01,"FRI, MAY 1"
102,103,2020-05-02,"SAT, MAY 2"
103,104,2020-05-03,"SUN, MAY 3"
104,105,2020-05-04,"MON, MAY 4"
105,106,2020-05-05,"TUE, MAY 5"
106,107,2020-05-06,"WED, MAY 6"
107,108,2020-05-07,"THU, MAY 7"
108,109,2020-05-08,"FRI, MAY 8"
109,110,2020-05-09,"SAT, MAY 9"
110,111,2020-05-10,"SUN, MAY 10"
111,112,2020-05-11,"MON, MAY 11"
112,113,2020-05-12,"TUE, MAY 12"
113,114,2020-05-13,"WED, MAY 13"
114,115,2020-05-14,"THU, MAY 14"
115,116,2020-05-15,"FRI, MAY 15"
116,117,2020-05-16,"SAT, MAY 16"
117,118,2020-05-17,"SUN, MAY 17"
118,119,2020-05-18,"MON, MAY 18"
119,120,2020-05-19,"TUE, MAY 19"
120,121,2020-05-20,"WED, MAY 20"
121,122,2020-05-21,"THU, MAY 21"
122,123,2020-05-22,"FRI, MAY 22"
123,124,2020-05-23,"SAT, MAY 23"
124,125,2020-05-24,"SUN, MAY 24"
125,126,2020-05-25,"MON, MAY 25"
126,127,2020-05-26,"TUE, MAY 26"
127,128,2020-05-27,"WED, MAY 27"
128,129,2020-05-28,"THU, MAY 28"
129,130,2020-05-29,"FRI, MAY 29"
130,131,2020-05-30,"SAT, MAY 30"
131,132,2020-05-31,"SUN, MAY 31"
132,133,2020-06-01,"MON, JUN 1"
133,134,2020-06-02,"TUE, JUN 2"
134,135,2020-06-03,"WED, JUN 3"
135,136,2020-06-04,"THU, JUN 4"
136,137,2020-06-05,"FRI, JUN 5"
137,138,2020-06-06,"SAT, JUN 6"
138,139,2020-06-07,"SUN, JUN 7"
139,140,2020-06-08,"MON, JUN 8"
140,141,2020-06-09,"TUE, JUN 9"
141,142,2020-06-10,"WED, JUN 10"
142,143,2020-06-11,"THU, JUN 11"
143,144,2020-06-12,"FRI, JUN 12"
144,145,2020-06-13,"SAT, JUN 13"
145,146,2020-06-14,"SUN, JUN 14"
146,147,2020-06-15,"MON, JUN 15"
147,148,2020-06-16,"TUE, JUN 16"
148,149,2020-06-17,"WED, JUN 17"
149,150,2020-06-18,"THU, JUN 18"
150,151,2020-06-19,"FRI, JUN 19"
151,152,2020-06-20,"SAT, JUN 20"
152,153,2020-06-21,"SUN, JUN 21"
153,154,2020-06-22,"MON, JUN 22"
154,155,2020-06-23,"TUE, JUN 23"
155,156,2020-06-24,"WED, JUN 24"
156,157,2020-06-25,"THU, JUN 25"
157,158,2020-06-26,"FRI, JUN 26"
158,159,2020-06-27,"SAT, JUN 27"
159,160,2020-06-28,"SUN, JUN 28"
160,161,2020-06-29,"MON, JUN 29"
161,162,2020-06-30,"TUE, JUN 30"
162,163,2020-07-01,"WED, JUL 1"
163,164,2020-07-02,"THU, JUL 2"
164,165,2020-07-03,"FRI, JUL 3"
165,166,2020-07-04,"SAT, JUL 4"
166,167,2020-07-05,"SUN, JUL 5"
167,168,2020-07-06,"MON, JUL 6"
168,169,2020-07-07,"TUE, JUL 7"
169,170,2020-07-08,"WED, JUL 8"
170,171,2020-07-09,"THU, JUL 9"
171,172,2020-07-10,"FRI, JUL 10"
172,173,2020-07-11,"SAT, JUL 11"
173,174,2020-07-12,"SUN, JUL 12"
174,175,2020-07-13,"MON, JUL 13"
175,176,2020-07-14,"TUE, JUL 14"
176,177,2020-07-15,"WED, JUL 15"
177,178,2020-07-16,"THU, JUL 16"
178,179,2020-07-17,"FRI, JUL 17"
179,180,2020-07-18,"SAT, JUL 18"
180,181,2020-07-19,"SUN, JUL 19"
181,182,2020-07-20,"MON, JUL 20"
182,183,2020-07-21,"TUE, JUL 21"
